Dark Night of the Wise,Increased Maximum FP,FP Restoration upon Successive Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism
Polished Burning Scene,HP Restoration upon Twinblade Attacks,Improved Madness Resistance,
Grand Luminous Scene,Vigor +2,Character Skill Cooldown Reduction +2,Holy Attack Power Up +1
Polished Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Improved Madness Resistance,
Polished Tranquil Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Bewitching Branches in possession at start of expedition,
Grand Tranquil Scene,FP Restoration upon Whip Attacks,Changes compatible armament’s skill to Thunderbolt at start of expedition,Attack power up when facing poison-afflicted enemy
Polished Burning Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Improved Thrusting Sword Attack Power,
Polished Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Improved Attack Power with 3+ Katana Equipped,
Grand Tranquil Scene,Improved Throwing Pot Damage,Improved Throwing Knife Damage,Attack power up when facing scarlet rot-afflicted enemy
Polished Luminous Scene,Improved Invisibility Sorcery,Lightning Attack Power Up +1,
Polished Drizzly Scene,Bewitching Branches in possession at start of expedition,Changes compatible armament's skill to Chilling Mist at start of expedition,
Grand Drizzly Scene,HP Restoration upon Bow Attacks,Attack power up after defeating a Night Invader,Holy Damage Negation Up
Polished Tranquil Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Improved Stance-Breaking when Wielding Two Armaments,
Polished Tranquil Scene,HP Restoration upon Dagger Attacks,Guard counter is given a boost based on current HP,
Grand Burning Scene,Improved Carian Sword Sorcery,Changes compatible armament's skill to Flaming Strike at start of expedition,Improved Frost Resistance
Grand Luminous Scene,Improved Attack Power with 3+ Fists Equipped,Arcane +2,Holy Damage Negation Up
Polished Tranquil Scene,Improved Death Blight Resistance,Improved Madness Resistance,
Polished Drizzly Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Lightning Attack Power Up,
Grand Tranquil Scene,{Raider] Duration of Ultimate Art extended,Flask Also Heals Allies,Lightning Attack Power Up
Grand Burning Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Mind +1,Arcane +1
Grand Burning Scene,{Recluse} Collecting affinity residue activates Terra Magica,Vigor +3,Mind +3
Polished Tranquil Scene,Max HP Up with 3+ Greatshields Equipped,Changes compatible armament’s skill to Endure at start of expedition,
Polished Luminous Scene,Strength +1,Holy Attack Power Up +1,
Grand Tranquil Scene,Improved Fundamentalist Incantations,Changes compatible armament's skill to Hoarfrost Stomp at start of expedition,Physical Attack Up +1
Grand Tranquil Scene,Improved Poise Near Totem Stela,Faith +3,Physical Attack Up
Grand Tranquil Scene,HP Restoration upon Heavy Thrusting Sword Attacks,FP Restoration upon Flail Attacks,Improved Rot Resistance
Polished Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Character Skill Cooldown Reduction +2,
Polished Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Magic Damage Negation Up,
Grand Tranquil Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Changes compatible armament's skill to Blood Blade at start of expedition,Vigor +1
Grand Burning Scene,Improved Bow Attack Power,Intelligence +2,Poise +2
Polished Burning Scene,Changes compatible armament’s skill to Seppuku at start of expedition,Vigor +2,
Polished Burning Scene,{Wylder] Art activation spreads fire in area,Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,
Grand Tranquil Scene,Improved Great Hammer Attack Power,Rune discount for shop purchases while on expedition,Magic Damage Negation Up
Grand Tranquil Scene,{Duchess] Defeating enemies while Art is active ups attack power,Stonesword Key in possession at start of expedition,Lightning Attack Power Up +1
Polished Tranquil Scene,Improved Attack Power with 3+ Spears Equipped,Attack power up when facing scarlet rot-afflicted enemy,
Grand Tranquil Scene,"HP restored when using cured meats, medicinal boluses, etc.",Attack power permanently increased for each evergaol prisoner defeated,Changes compatible armament’s skill to Lightning Slash at start of expedition
Polished Burning Scene,Changes compatible armament's skill to Gravitas at start of expedition,Attack power up when facing frostbite-afflicted enemy,
Polished Drizzly Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Mind +3,
Black Claw Necklace,Defeating enemies near Totem Stela restores HP,Defeating enemies fills more of the Art gauge,Poise +3
Grand Drizzly Scene,Starlight Shards in possession at start of expedition,Starlight Shards in possession at start of expedition,Starlight Shards in possession at start of expedition
Grand Burning Scene,Improved Stance-Breaking when Wielding Two Armaments,Stamina recovers with each successful attack,Endurance +3
Grand Burning Scene,Slowly restore HP for self and nearby allies when HP is low,Improved Damage Negation at Low HP,Vigor +3
Grand Tranquil Scene,Improved Stance-Breaking when Two-Handing,Improved Initial Standard Attack,Poise +3
Grand Luminous Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,HP Recovery From Successful Guarding,Art gauge charged from successful guarding
Grand Luminous Scene,{Raider] Duration of Ultimate Art extended,Improved Colossal Weapon Attack Power,Endurance +3
Grand Drizzly Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Items confer effect to all nearby allies,Starlight Shards in possession at start of expedition
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Critical Hits,Character Skill Cooldown Reduction +2
Grand Burning Scene,{Guardian] Reflect a portion of damage received when ability is activated,Art gauge charged from successful guarding,Endurance +3
